what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345082363972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345082600680
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1345082606544
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345082614416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345082648877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345082656671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345082660734
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1345082661661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345082666445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345082731535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345082733164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345082822551
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345082826012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1345082882912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1345082883448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345082915733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345083211344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345083229343
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1345083232535
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1345083234060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1345083240045
